Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/26/2020,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/27/2020,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/28/2020,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/29/2020,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/30/2020,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/31/2020,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/1/2020,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/2/2020,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/3/2020,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/4/2020,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/5/2020,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/6/2020,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/7/2020,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/8/2020,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/9/2020,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/10/2020,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/11/2020,0,0,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/12/2020,0,0,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/13/2020,0,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/14/2020,0,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/15/2020,0,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/16/2020,0,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/17/2020,0,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/18/2020,0,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/19/2020,0,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/20/2020,0,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/21/2020,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/22/2020,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/23/2020,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/24/2020,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/25/2020,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/26/2020,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/27/2020,0,0,1,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/28/2020,0,0,1,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/29/2020,0,0,1,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
3/1/2020,0,0,1,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,0,0,0
3/2/2020,0,0,1,0,21,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,18,0,0,0
3/3/2020,0,0,1,0,25,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,3,0,2,0,0,0,0,0,0,0,27,0,0,0
3/4/2020,0,0,1,0,35,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,11,1,0,0,0,3,0,2,0,0,0,0,0,0,0,39,0,0,0
3/5/2020,0,0,1,0,51,0,0,0,3,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,23,1,0,0,0,3,0,2,0,0,1,3,0,0,0,70,0,0,0
3/6/2020,0,0,2,0,59,3,0,0,3,3,0,0,5,1,0,0,1,0,0,3,6,0,1,0,0,0,1,2,2,2,0,31,2,0,0,0,3,2,2,0,0,1,4,0,0,0,78,0,0,0
3/7/2020,0,0,4,0,81,7,0,0,7,5,1,0,6,1,0,0,1,0,0,3,6,0,1,0,0,0,1,2,2,4,0,76,2,0,0,1,6,2,3,2,0,1,8,1,0,0,102,0,0,0
3/8/2020,0,0,4,0,95,7,0,0,10,5,1,0,7,2,0,1,1,0,0,5,22,0,1,0,1,0,1,4,4,5,0,106,2,0,0,1,14,6,3,2,0,3,11,1,1,2,122,0,0,0
3/9/2020,0,0,4,0,101,7,0,0,13,10,1,0,7,3,3,1,4,0,0,5,22,0,2,0,1,0,3,4,4,5,0,142,2,0,0,1,14,7,3,3,0,3,13,1,1,2,122,0,0,0
3/10/2020,0,0,6,0,144,14,1,0,15,17,3,0,12,6,8,1,5,0,0,8,41,0,2,0,1,0,3,4,4,15,0,150,7,0,3,2,14,12,3,7,0,3,16,2,1,8,167,0,3,0
3/11/2020,0,0,9,0,178,30,3,1,24,23,2,0,25,11,13,1,8,5,0,9,92,2,5,0,1,0,5,7,5,23,3,220,7,0,4,2,19,16,5,10,8,9,21,3,1,9,282,0,4,0
3/12/2020,0,0,9,0,221,45,5,1,30,31,2,0,32,13,14,4,10,19,1,12,107,2,9,1,2,0,10,10,6,29,5,327,15,1,5,3,24,22,3,7,7,18,27,3,2,12,442,0,8,1
3/13/2020,5,1,9,9,281,76,11,4,50,42,2,1,46,13,17,6,14,29,3,18,123,16,14,6,4,1,14,18,6,49,10,421,17,1,12,3,30,41,12,8,8,26,44,9,2,27,568,0,19,1
3/14/2020,7,1,12,12,372,101,23,6,76,73,4,2,64,16,17,8,16,77,3,27,138,25,21,6,4,5,18,20,7,69,13,613,25,1,26,4,36,47,20,19,8,32,60,10,5,37,642,0,27,2
3/15/2020,11,1,12,3,373,99,24,6,100,99,6,4,66,20,18,8,18,87,2,24,138,32,21,6,5,6,17,20,7,72,13,615,32,1,30,4,36,47,20,19,8,32,63,18,5,37,603,0,28,2
3/16/2020,29,1,18,3,557,132,41,8,101,121,8,4,83,25,23,11,21,115,17,42,187,54,53,12,6,6,18,45,17,176,21,967,39,1,50,10,39,79,21,30,10,52,85,28,12,49,779,0,48,2
3/17/2020,39,3,20,3,700,167,68,16,190,146,10,8,161,30,23,18,26,196,26,60,217,63,59,21,12,8,23,55,26,250,23,1578,64,3,67,17,66,112,23,47,11,74,110,39,12,67,955,0,73,11
3/18/2020,51,5,27,4,828,218,96,19,306,197,15,9,272,38,38,22,28,257,35,85,252,119,77,34,18,10,24,55,37,397,28,3038,92,6,89,17,75,155,33,60,11,100,196,47,13,79,1022,1,111,16
3/19/2020,78,8,45,62,1005,277,159,30,432,287,25,23,422,60,44,35,50,392,52,107,328,259,89,50,39,11,29,95,42,741,35,5704,136,19,119,44,88,206,44,80,14,154,306,62,22,103,1374,2,159,18
3/20/2020,106,11,68,100,1243,363,194,39,564,485,36,36,585,86,45,48,64,537,56,149,413,402,113,80,73,20,37,161,53,890,42,8403,189,26,173,49,114,311,54,126,14,223,429,95,29,123,1524,8,219,21
3/21/2020,131,13,104,122,1405,475,194,45,763,555,36,42,753,128,69,57,87,763,70,193,523,540,134,140,81,27,38,161,61,1327,55,11727,256,28,247,53,137,399,66,174,14,304,582,118,49,157,1793,12,282,23
3/22/2020,157,18,152,165,1646,591,327,56,1004,621,53,42,1049,204,90,65,103,837,89,244,640,1035,167,207,100,34,51,190,73,1914,57,15800,305,28,356,67,161,509,83,196,21,393,643,162,52,220,1997,16,381,26
3/23/2020,196,30,235,192,2108,704,415,68,1227,772,56,68,1285,270,105,84,123,1172,107,290,777,1329,234,249,187,34,51,245,101,2844,83,20884,353,30,443,81,191,698,106,298,28,614,758,257,75,254,2221,16,425,26
3/24/2020,242,34,326,219,2538,723,618,104,1412,1026,90,81,1537,368,124,100,162,1388,118,349,1159,1793,261,320,257,51,66,278,101,3675,100,25681,495,36,567,106,210,946,124,342,30,772,955,298,95,293,2328,22,481,29
3/25/2020,381,41,401,280,2998,1021,875,119,1682,1247,91,91,1865,477,146,134,197,1795,142,425,1838,2296,286,377,354,65,71,323,108,4402,113,30841,590,45,704,164,266,1260,132,424,41,916,1229,340,125,396,2591,39,621,44
3/26/2020,517,56,508,335,3899,1430,1012,130,2357,1525,95,146,2538,645,179,172,247,2304,155,583,2417,2845,344,485,520,90,74,420,137,6876,113,37877,738,51,868,248,316,1795,165,424,46,1097,1563,396,158,466,3207,52,728,53
3/27/2020,587,58,665,381,4657,1433,1291,163,2900,2000,106,205,3024,979,235,206,301,2744,168,775,3240,3634,396,579,666,109,82,536,158,8825,136,44876,887,68,1137,322,416,2345,203,542,58,1318,1937,472,184,607,3477,76,926,70
3/28/2020,694,85,773,409,5095,1740,1524,214,3763,2366,149,234,3491,1233,298,266,380,3315,211,995,4257,4650,441,663,836,129,96,626,187,11124,208,52410,1020,94,1406,377,479,2845,239,660,68,1511,2455,602,211,740,4030,96,1055,82
3/29/2020,825,102,919,426,5852,2307,1993,232,4246,2651,149,281,4596,1513,336,330,438,3540,253,1239,4955,5488,503,759,915,154,108,920,214,13386,237,59648,1191,98,1653,429,548,3432,294,774,90,1720,2792,720,235,890,4465,113,1164,86
3/30/2020,899,114,1157,473,7138,2311,2571,264,5473,2808,175,340,5056,1786,424,372,479,4025,275,1413,5752,6498,576,847,1051,171,145,1012,314,16636,237,66663,1313,109,1933,481,606,4155,408,925,101,1917,3147,798,256,1020,4923,145,1230,94
3/31/2020,987,119,1289,523,8210,2966,3128,319,6741,3929,204,515,5994,2158,497,434,628,5237,303,1660,6620,7615,629,937,1357,198,172,1114,357,18696,315,75833,1535,122,2199,568,690,4963,488,1083,108,2391,3809,888,293,1249,5432,162,1412,109
4/1/2020,1060,132,1413,584,9399,2982,3557,368,6956,4638,224,566,6980,2564,547,485,632,6424,303,1986,7738,9315,689,1073,1613,208,210,1279,367,22255,327,83948,1675,142,2547,721,736,6009,566,1293,129,2933,4355,888,321,1483,5608,191,1556,130
